Timestamp,Player,Row,Col,Result
2025-08-15 12:34:50,X,0,0,O
2025-08-15 12:34:51,O,1,1,O
2025-08-15 12:35:02,X,0,1,O
2025-08-15 12:35:02,O,0,2,O
2025-08-15 12:35:04,X,1,2,O
2025-08-15 12:35:04,O,2,0,O
2025-08-15 12:39:02,X,0,0,O
2025-08-15 12:39:06,O,1,1,O
2025-08-15 12:39:06,X,0,2,O
2025-08-15 12:39:09,O,0,1,O
2025-08-15 12:39:11,X,2,1,O
2025-08-15 12:39:13,O,1,2,O
2025-08-15 12:39:16,X,2,2,O
2025-08-15 12:39:17,O,1,0,O
2025-08-15 12:39:57,X,0,0,O
2025-08-15 12:39:58,O,1,1,O
2025-08-15 12:39:59,X,0,2,O
2025-08-15 12:40:01,O,0,1,O
2025-08-15 12:40:02,X,2,1,O
2025-08-15 12:40:04,O,1,2,O
2025-08-15 12:40:05,X,2,2,O
2025-08-15 12:40:06,O,1,0,O
2025-08-15 12:40:08,X,2,0,O
2025-08-15 12:40:09,O,1,1,O
2025-08-15 12:40:10,X,0,2,O
2025-08-15 12:40:10,O,2,2,O
2025-08-15 12:40:11,X,1,2,O
2025-08-15 12:40:11,O,2,1,O
2025-08-15 12:40:12,X,0,0,O
2025-08-15 12:40:12,O,0,1,O
2025-08-15 12:40:18,X,0,0,O
2025-08-15 12:40:18,O,1,1,O
2025-08-15 12:41:59,X,0,0,O
2025-08-15 12:41:59,O,0,1,O
2025-08-15 12:42:01,X,1,1,O
2025-08-15 12:42:02,O,2,2,O
2025-08-15 12:42:03,X,0,2,O
2025-08-15 12:42:03,O,2,0,O
2025-08-15 12:42:06,X,1,0,O
2025-08-15 12:42:06,O,2,1,O
2025-08-15 12:46:05,X,0,0,O
2025-08-15 12:46:05,O,1,2,O
2025-08-15 12:46:07,X,1,1,O
2025-08-15 12:46:07,O,2,2,O
2025-08-15 12:46:08,X,2,0,O
2025-08-15 12:46:08,O,0,2,O
2025-08-15 12:46:20,X,1,1,Draw
2025-08-15 12:46:20,O,2,0,Draw
2025-08-15 12:46:21,X,1,2,Draw
2025-08-15 12:46:21,O,3,0,Draw
2025-08-15 12:46:21,X,2,2,Draw
2025-08-15 12:46:22,O,0,0,Draw
2025-08-15 12:46:23,X,1,0,Draw
2025-08-15 12:46:23,O,1,3,Draw
2025-08-15 12:46:24,X,0,3,Draw
2025-08-15 12:46:25,O,3,2,Draw
2025-08-15 12:46:25,X,0,2,Draw
2025-08-15 12:46:26,O,2,1,Draw
2025-08-15 12:46:27,X,0,1,Draw
2025-08-15 12:46:27,O,3,3,Draw
2025-08-15 12:46:28,X,3,1,Draw
2025-08-15 12:46:29,O,2,3,Draw
2025-08-15 12:48:31,X,1,1,Draw
2025-08-15 12:48:32,O,2,0,Draw
2025-08-15 12:48:33,X,0,2,Draw
2025-08-15 12:48:34,O,1,2,Draw
2025-08-15 12:48:35,X,0,0,Draw
2025-08-15 12:48:35,O,0,1,Draw
2025-08-15 12:48:36,X,1,0,Draw
2025-08-15 12:48:37,O,2,2,Draw
2025-08-15 12:48:38,X,2,1,Draw
2025-08-15 12:48:45,X,1,1,Draw
2025-08-15 12:48:45,O,1,0,Draw
2025-08-15 12:48:46,X,2,0,Draw
2025-08-15 12:48:47,O,0,2,Draw
2025-08-15 12:48:48,X,2,2,Draw
2025-08-15 12:48:48,O,0,0,Draw
2025-08-15 12:48:49,X,0,1,Draw
2025-08-15 12:48:50,O,2,1,Draw
2025-08-15 12:48:51,X,1,2,Draw
2025-08-15 12:50:57,X,1,1,Draw
2025-08-15 12:50:58,O,1,0,Draw
2025-08-15 12:50:58,X,2,0,Draw
2025-08-15 12:50:59,O,0,2,Draw
2025-08-15 12:51:00,X,2,2,Draw
2025-08-15 12:51:00,O,0,0,Draw
2025-08-15 12:51:01,X,0,1,Draw
2025-08-15 12:51:01,O,2,1,Draw
2025-08-15 12:51:02,X,1,2,Draw
2025-08-15 12:51:24,X,1,1,O
2025-08-15 12:51:24,O,2,1,O
2025-08-15 12:51:24,O,1,0,O
2025-08-15 12:51:25,X,1,2,O
2025-08-15 12:51:25,O,0,2,O
2025-08-15 12:51:25,O,2,0,O
2025-08-15 12:51:26,X,2,2,O
2025-08-15 12:51:26,O,0,0,O
2025-08-15 12:53:29,X,1,0,Draw
2025-08-15 12:53:30,O,0,0,Draw
2025-08-15 12:53:30,X,1,1,Draw
2025-08-15 12:53:30,O,1,2,Draw
2025-08-15 12:53:31,X,0,2,Draw
2025-08-15 12:53:31,O,2,0,Draw
2025-08-15 12:53:31,X,2,2,Draw
2025-08-15 12:53:32,O,2,1,Draw
2025-08-15 12:53:32,O,0,1,Draw
2025-08-15 12:53:35,X,0,0,O
2025-08-15 12:53:36,O,1,1,O
2025-08-15 12:53:37,X,2,1,O
2025-08-15 12:53:37,O,0,1,O
2025-08-15 12:53:38,X,1,2,O
2025-08-15 12:53:38,O,2,0,O
2025-08-15 12:54:53,X,1,1,O
2025-08-15 12:54:54,O,1,2,O
2025-08-15 12:54:54,X,2,0,O
2025-08-15 12:54:55,O,0,2,O
2025-08-15 12:54:55,X,2,1,O
2025-08-15 12:54:56,O,2,2,O
2025-08-15 12:54:59,X,1,1,Draw
2025-08-15 12:54:59,O,2,1,Draw
2025-08-15 12:55:00,X,2,0,Draw
2025-08-15 12:55:01,O,0,2,Draw
2025-08-15 12:55:02,X,1,2,Draw
2025-08-15 12:55:02,O,1,0,Draw
2025-08-15 12:55:03,X,0,1,Draw
2025-08-15 12:55:04,O,0,0,Draw
2025-08-15 12:55:05,X,2,2,Draw
2025-08-15 12:56:10,X,0,1,Draw
2025-08-15 12:56:10,O,0,2,Draw
2025-08-15 12:56:10,X,1,1,Draw
2025-08-15 12:56:11,O,2,1,Draw
2025-08-15 12:56:12,X,1,2,Draw
2025-08-15 12:56:12,O,1,0,Draw
2025-08-15 12:56:13,X,2,0,Draw
2025-08-15 12:56:13,O,2,2,Draw
2025-08-15 12:56:14,X,0,0,Draw
2025-08-15 12:56:19,X,1,1,Draw
2025-08-15 12:56:19,O,2,0,Draw
2025-08-15 12:56:19,X,2,1,Draw
2025-08-15 12:56:20,O,0,1,Draw
2025-08-15 12:56:20,X,1,0,Draw
2025-08-15 12:56:20,O,1,2,Draw
2025-08-15 12:56:21,X,0,0,Draw
2025-08-15 12:56:21,O,2,2,Draw
2025-08-15 12:56:22,X,0,2,Draw
2025-08-29 13:00:17,X,0,0,Draw
2025-08-29 13:00:18,O,1,1,Draw
2025-08-29 13:00:19,X,0,2,Draw
2025-08-29 13:00:19,O,0,1,Draw
2025-08-29 13:00:21,X,2,1,Draw
2025-08-29 13:00:21,O,1,0,Draw
2025-08-29 13:00:22,X,1,2,Draw
2025-08-29 13:00:23,O,2,2,Draw
2025-08-29 13:00:24,X,2,0,Draw
2025-08-29 13:00:29,X,1,1,Draw
2025-08-29 13:00:29,O,2,2,Draw
2025-08-29 13:00:31,X,0,0,Draw
2025-08-29 13:00:31,O,2,1,Draw
2025-08-29 13:00:38,X,2,0,Draw
2025-08-29 13:00:38,O,0,2,Draw
2025-08-29 13:00:39,X,1,2,Draw
2025-08-29 13:00:40,O,1,0,Draw
2025-08-29 13:00:41,X,0,1,Draw
2025-09-10 15:31:31,X,0,0,O
2025-09-10 15:31:31,O,1,2,O
2025-09-10 15:31:32,X,1,1,O
2025-09-10 15:31:33,O,2,2,O
2025-09-10 15:31:35,X,2,0,O
2025-09-10 15:31:35,O,0,2,O
2025-09-10 15:31:41,X,1,1,Draw
2025-09-10 15:31:42,O,0,2,Draw
2025-09-10 15:31:44,X,2,0,Draw
2025-09-10 15:31:44,O,1,2,Draw
2025-09-10 15:31:46,X,2,2,Draw
2025-09-10 15:31:46,O,0,0,Draw
2025-09-10 15:31:47,X,0,1,Draw
2025-09-10 15:31:48,O,2,1,Draw
2025-09-10 15:31:50,X,1,0,Draw
